filename,course,semester,exam_type,year,text_preview
MCA SEM-II May-June 2018(Regular).pdf,MCA,0,Regular,2018,"Enrollment No
GANPAT UNIVERSITY
M.C.A. SEM-rr EXAMTNATToN (CBCS)
P12A1DS: DATA STRUCTURE
Instructionsi
1. Figures to the right indicate full. marks
Z. fatn i"".iion sfrJutO be written in a separate answer book
3. Be precise and to the point in your answer. SECTION-IApril- June 2018 [Total Marks: 6O
Time: 3 Hoursl
1""
(A)
(B)
(c)
(D)
2.
(A)
(B)
(c)
3.
(A)
(B)
(c)Answer the following questions in brief'
what is a.Data strl.iri""i Explain linear data structure with
example.
Give real-life examples of "
MCA III Sem May-Jun 2017 (Remedial).pdf,MCA,1,Remedial,2017,"Time: 3 Hours]
Instructions:r.,r.eflSeJ6{1-ArPA-2o|4(0.caneo&tui)
Enrollment No.
GANPAT UNIVERSITY
M.C.A SEM -III EXAMINATION (CBCS)
P13A2JP1 JAVA PROGRAMMING . I
[TotalMarks: 60
i P.eruedial APril - June 20L7
'': ""il ,i
,t"")
I
l: ,
tl
\i,,1. Flgures [d ttr"" right indicate full marks'
2. 'Each sectiqn should be written in a separate answer book.
3. Be precise and to the point in youqanswp|' '
SECTION _ I
Q - f Answer the follorving. (Any FOUR)
L Write a role ofjava.util.Enumeration intertace'
2."
MCA III Sem Nov Dec-2017 (Regular).pdf,MCA,1,Regular,2017,"Enrollinent No.
GANT,AT U]STVERSI'TY
},,t""C""A. SEIT,,I - IiI EXAI,TINATIOhT (CBCS)
;)t3A 1 GUII : GUI PIiOGR""AMM{NG-X
Nov- Dec 2017Timer 3 Hours]
Instructions:
a"" rd
B
3.A(8) 1.[Tot*l Marks: 60
1. Figures tc, the right indicate full marks
2. Eaeh sestion shouid be w'ritten in a separate answer book
3. Be precise and to the point in your answer
SECTIGN-I
Answer the following:
A. What is clifference between managed code and unmanaged code?
ts. What is CLS?
C. Explain use of foreach loop rvith exam"
MCA III Sem Nov- Dec 2018(Regular).pdf,MCA,1,Regular,2018,"/GANFAT T""INIVERSI'TY
M.C.A. SEB{ - I{[ EX'4'MINATIOIT{ (CBCS)- - 
P13AtrGl.itrtr : GLrI PROGIIAMMTNG-I
Nov- Ilec ?0IB lTotal IVLarks: 60
Time: 3 Hours]
Instructions:
1.
1
-1
2""A.
B
3.41""Fisures to the right indicate full marks
E;Hil;; tnJ-ro be written in a separate answer book
Be precise and to the point in your answer
SECTION.I
Answer the following: (8)
A. How JIT works?
B. Exptain CTS in short'
C,.statethereturntypeofConsote'Read()andConsole.Readl,ine()methods?
D"" What is use of destructor?
"
MCA III Sem Nov-Dec 2019(Regular).pdf,MCA,1,Regular,2019,",/
Enrollment No
GANPAT UNIVERSITY
M.C.A. SEMESTER-III EXAMINATION
P13A1GUI: GUI PROGRAMMINGfVoU--Drc""2o13
Time: 3 Hoursl
Instructions:.liil-.Dcc 2t119 [Total Marks: 6O
1. Figures to the right indicate full marks2. Each section should be written in a separate answer book3. Be precise and to the point in your answer
SECTION.I
1. Answer the following.(A) f)escribe tlre inheritance concept of Cl#.(B) \lrhat is Access lr4odifiersl)(C) \\/hat is Coliection? l,isr oLit the pro;:erries of Array List.(D"
MCA IV Sem May-June 2017(Regular).pdf,MCA,4,Regular,2017,"/gale: 1Llo5 'Lc2lt
"" GANPAT UNIVERSITY
M,C.A. SEMESTER.-rV EXAMTNATToN (cBcs)
PL4A1OST : OPEN SOURCE reCUruOtOCiY
April - June 20tr7lTotal Marks: 6O
1. Figures io the right indicate full marks
2. Ea-ch section should be written in a separate answer book
3. Be precise and to the point in your answer
SECTION.I
Do as dilected.
(1) Role of PHP GD LibrarY""
{2} Defitre : setCookie0 flrnction
(3i How to access PHP OOPS class Members?
(4i How $-POST is differ frorn $-GET'
Ansrver the follorving Questio"
MCA IV Sem May-June 2018(Regular).pdf,MCA,4,Regular,2018,"Time:3 Hoursl
Instructions:
1.
A)
B)
A
1)
2)
3)
B
2)
3)
B
5.A
1)'2)
3)1.
2.
J.GANPAT TINTVERSITY
}'I.C.A Sem-IV CBCS (NE!R Regular
P14A1OST OPEN SOURCE TECHNOLOGY
[Total Marks:60]
Aprill Jrurc 2018
Figures to the right indicate full marks
Each section should be written in a separate answer book
Be precise and to the point in your answer
SECTION-I
Answer the following:
Explain PHP with advantages and disadvantages.
Explain different data types in PHP.
Answer the following(AnY 2)
Explain different"
MCA IV Sem May-June 2019(Regular).pdf,MCA,4,Regular,2019,"GANPAT UNIIIIRSITY
Iv{""C.A.SEM-IY SXAIVIINATION (Cts CS)
I'I4A1*ST: OPEN SOURC$ TECHI*{OLOGY
ApriX- June 2019
'l'irne: 3 EXoursl [Total Marks: 60
fnstructions:
1. Figures to tire right indicate fult marks
2. Each section should be tritten in a separate answer book
3. Be precise and to the point in your answer
SECTION.I
Answer the fallowing.
(0 What is Open source technology? Explain the processing of PHP'
(i1) Explain any four shing functions with suitable example'
(A)
(i)
(ii)
(ii')4. Answer th"
MCA V Sem May-jun 2017(Remedial).pdf,MCA,5,Remedial,2017,"lncfi V s€rn /U@ 2clY
A.?dL
Timet 3 Hoursl
1.(A)
(1)
(2)
(3)
1.(B)
2.(A)
(1)
(2)
2.(B)
(1)
(2)
(3)
3.(A)
(1)
(2)
3.(B)
(1)Instructions:
Z. fJcn section should be written in a separate answer book
3. Be precise and to the point in your answerEnrollment No
GANPAT UNIVERSITY
M.C.A. SEMESTER.V EXAMINATION
P15A2AADl Android Application Development
Remedial APril - June 2017[Total Marks: 6O
SECTION-I
Answer the following
What do You mean bY intent?
Differentiate. minsdkv€rsion vs maxsdkVersion
Syntaxo"
MCA V Sem May-Jun 2018 (Remedial).pdf,MCA,5,Remedial,2018,"+Enrolhner,t No.
GANPAT UNIVERSTTY
M.C.A. SEMESTBR-V EXAMINATION
PI5A1UML: OBJECT ORIBNTED ANALYSIS AND DESIGN WITH UMLTime: 3 Hoursl 'Renrcdial April- June 20lg [Total Marl<s: 60
Instructions:
l. Figures to the right indicate full marks2. Each section shourd be written in a separate answer book3. Be precise and to the point in your urr*..
StrCTION.I
1. Ansryer the follolving
(a) Expiai, Generalization rerationship with suitabre exampre.
(b) Explain diff-erent adornments of Association relations"
MCA V Sem Nov- Dec 2018 (Regular).pdf,MCA,5,Regular,2018,"w\t$ - s#t
Enrollment No.jaslry,
GANPAT UNIVERSITY
M.C.A. SEMESTER-V EXAMTNATTON (CBCS)
P15A1ADMS: ELECTIVE.V (ADVANCE DATABASE MANAGEMENT
SYSTEM)
[Total Marks: 6O Time: 3 Hoursl
Instructions:
1. Figures to the right indicate full marks
2. Each section should be written in a separate answer book
3. Be preci.se and to the point in your answer
SECTION.I
1.(A) Do as directed.
(1) Normalization
(2) DBMS Benchmarking
(3) Fragmentation
(4) Define: Parallel Database System.
2.( \ Answer the following Q"
MCA V Sem Nov- Dec 2019 (Regular).pdf,MCA,5,Regular,2019,"t' Enrollment No.
GANPAT UNIVERSITY
M.C.A. SEMESTER-V EXAMTNATTON (CBCS)
NOV- DEC 2019
P15AlADMS: ELECTIVE.VI (ADVANCE DATABASE MANAGEMENT
SYSTEM)
Time: 3 Hours]
f nstructions:[Total Marks: 6O
l. Figures to the right indicate full rnarl<s2. Each section should be written in a separate answer bool<3. Be precise and to the point in your answer
SECTION.I
1.(A) Do as directed.(1) TPC-A and TPC-B(2) 2PC
(3) Anomalies(4) Data Consistency
2.(A) Answer the following Questions.(Any Trvo)(l) Describe BCNF"
MCA V Sem Nov-Dec 2017(Regular).pdf,MCA,5,Regular,2017,"Enrollment No
GANPAT UNIVERSTTY
M""e .4. SEMESTER-V EXAF{TNATTSN {eBcs)
I
;OrqS:ELECTM-V(ADVANCEDATABASEMANAGEMENTsYsr=il)
Time: 3 Hoursl
2.(A)
(1)
(2)
(3):r;G':,rlttfl?etal ffiarks: S#
i-S-lril*trai '-5
- 'r.lr'ile iuillital""ku
: ,....\..;., . it::i :t::).lrJ.ie:rjls\i. i :. ;,'--..' i-t: ''iiriisn !n !i Sepiifi
: :.- * i -, ii-,C I ,tli'1r. ifr \'f,;1lf '-l1lSi\ L'f
$trflTI#N- X
:'-'rr'red""
. -, i'1..:,jr.ii tdiino,'
: i'hat is iiaLrir;l:ie Tirnii's'i
+ i '''n i,al is Di;'rtrihuieu Ilitiiibr;se"
