course,semester,subject_code,subject_name
MSC-IT(IMS),2,P42A1MEN,ManagingEnterpriseNetwork
MSC-IT(IMS),2,P42A2IOT,INTRODUCTIONTO INTERNET OF THINGS
MSC-IT(IMS),2,P42A3AMOS,ADVANCED MICROSOFT SERVER OPERATING SYSTEM
MSC-IT(IMS),2,P42A4EL2,Elective II – (Concepts of open source scripting Languages
MSC-IT(IMS),2,P42A5IWT1,INTRODUCTION TO WIRELESS TECHNOLOGY WITH 5G NETWORK
MSC-IT(IMS),3,P43A1PCC,PRINCIPLES OF CLOUD COMPUTING
MSC-IT(IMS),3,P43A2ISM,IT SERVICE MANAGEMENT USING ITIL
MSC-IT(IMS),3,P43A3FNS,FUNDAMENTALS OF NETWORK SECURITY
MSC-IT(IMS),3,P43A4VW T,VOIP AND WIRELESS TECHNOLOGIES
MSC-IT(IMS),3,P43A5EL4,Elective –IV (OPEN-SOURCE NETWORK ADMINISTRATION) Teaching Scheme Examination Scheme
MSC-IT(IMS),3,P43A6IP3,INDUSTRIAL PROJECT- III
MSC-IT(IMS),4,P44A1IP4,INDUSTRIAL PROJECT – IV
DD(BCA-MCA),1,U31A1LDP,LOGIC DEVELOPMENT WITH PROGRAMMING-I (JUNE2022)
DD(BCA-MCA),1,U31A2OAT,OFFICE AUTOMATION TOOLS (JUNE -2022)
DD(BCA-MCA),1,U31A3BWP,BASIC WEB PROGRAMMING (JUNE-2022)
DD(BCA-MCA),1,U31A3BWP1,BASIC WEB PROGRAMMING-I
DD(BCA-MCA),1,U31A4COA,COMPUTER ORGANIZATION AND ARCHITECTURE (JUNE-2022)
DD(BCA-MCA),1,U31B5LCS,LANGUAGE AND COMMUNICATION SKILLS-I
DD(BCA-MCA),2,U32A1LDP,LOGIC DEVELOPMENT WITH PROGRAMMING-II (JUNE-2022)
DD(BCA-MCA),2,U32A2AWP,ADVANCE WEB PROGRAMMING (JUNE-2022)
DD(BCA-MCA),2,U32A2BWP2,BASIC WEB PROGRAMMING-II
DD(BCA-MCA),2,U32A3ITM,INFORMATION TECHNOLOGY AND SYSTEM MAINTENANCE
DD(BCA-MCA),2,U32A3DBM,DATABASE MANAGEMENT SYSTEM (JUNE-2022)
DD(BCA-MCA),2,U32A4DM,DISCRETE MATHEMATICS (JUNE-2022)
DD(BCA-MCA),2,U32B5LCS,LANGUAGE AND COMMUNICATION SKILLS-II
DD(BCA-MCA),3,U33A5CN,COMPUTER NETWORK
DD(BCA-MCA),3,U33A3ADB,ADVANCE DATABASE MANAGEMENT (JUNE 2022)
DD(BCA-MCA),3,U33A1OOP,OBJECT ORIENTED CONCEPTS AND PROGRAMMING (JUNE 2022)
DD(BCA-MCA),3,U33A2DFS,DATA AND FILE STRUCTURE
DD(BCA-MCA),3,U33A4SE,SOFTWARE ENGINEERING (JUNE 2022)
DD(BCA-MCA),3,U33A3DBM,DATABASE MANAGEMENT SYSTEM
DD(BCA-MCA),3,U33B6EDM,ENVIRONMENT AND DISASTER MANAGEMENT
DD(BCA-MCA),3,U33A4SAD,SYSTEM ANALYSIS AND DESIGN
DD(BCA-MCA),3,U33A5NT1,NETWORKING-I
